Purchase Frequency,Total Purchase Value,Promotional Content Clicked,Discount Sensitivity,Average Cart Size,Preferred Product Category,Session Duration,Returns Frequency,Loyalty Program Member,Monthly Income,Customer Review Count,Customer Sentiment,Average Product Price,Cart Abandonment Rate,Last Purchase Recency,Preferred Brands,Purchase Likelihood
6,1858.247696,Yes,0.53,2,Clothing,7.910704044,4,Yes,>=50k,6,Positive,526.9282853,0.89,124,Brand B,1
19,2746.465062,Yes,0.27,1,Electronics,18.39275277,2,No,<50k,46,Negative,678.951998,0.11,63,Brand C,1
14,2612.149987,Yes,0.9,8,Clothing,18.47366427,3,No,<50k,29,Negative,1040.483216,0.62,130,Brand A,1
10,5285.88619,No,0.93,3,Groceries,15.24493602,4,Yes,>=50k,36,Neutral,461.6893021,0.54,114,Mixed,0
7,8465.029999,Yes,0.4,1,Electronics,18.82751005,4,Yes,<50k,47,Neutral,1964.96314,0.78,122,Brand C,1
6,9462.600292,No,0.89,8,Clothing,15.65578257,0,Yes,<50k,31,Positive,100,0.3,131,Mixed,0
18,6276.102203,No,0.38,1,Clothing,23.08133035,3,No,<50k,5,Neutral,618.4645981,0.01,141,Brand A,1
10,6001.68895,Yes,0.74,8,Clothing,8.51795848,2,No,<50k,34,Negative,719.2022773,0.19,101,Brand B,1
10,1397.884532,Yes,0.48,1,Groceries,16.00895216,4,Yes,<50k,31,Positive,512.5351363,0.21,76,Brand C,0
3,3914.652401,No,0.12,9,Clothing,19.51674374,4,Yes,<50k,11,Negative,1336.48268,0.29,155,Brand C,1
7,3424.432496,Yes,0.93,9,Electronics,22.46050013,4,No,>=50k,3,Positive,671.7893437,0.37,62,Brand A,1
2,3758.304803,Yes,0.45,9,Clothing,18.96287546,0,Yes,<50k,31,Positive,1310.221638,0.71,166,Mixed,1
1,4663.712363,Yes,0.73,3,Electronics,9.810097971,4,No,<50k,34,Neutral,1789.827882,0.07,107,Mixed,0
11,4055.818845,No,0.37,4,Home Decor,6.724756325,4,No,>=50k,47,Negative,1618.606935,0.49,147,Brand A,0
5,1041.400379,No,0.02,5,Electronics,14.1506147,0,No,<50k,15,Neutral,1079.835868,0.5,27,Brand B,1
