balance,balance_frequency,purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,credit_limit,payments,prc_full_payment,tenure
40.9,0.82,95.4,95.4,0,0.17,0,0.08,1000,201.8,0,12
3202.47,0.91,0,0,2830.97,0,0,0,7000,4103.03,0.22,12
2495.15,1,773.17,0,0,1,0.82,0,7500,622.07,0,12
817.71,1,16,0,0,0.08,0.08,0,1200,678.33,0,12
1809.83,1,1333.28,1210.37,0,0.67,0,0.58,1800,1400.06,0,12
627.26,1,2799.9,688.38,0,1,0.82,1,13500,4250.02,0.43,12
1823.65,1,436.2,436.2,0,1,0,1,2300,679.07,0,12
1014.93,1,861.49,200,0,0.33,0.08,0.25,7000,688.28,0,12
152.23,0.78,1281.6,0,0,0.17,0.17,0,11000,1164.77,0,12
1293.12,1,920.12,920.12,0,1,0,1,1200,1083.3,0,12
630.79,0.82,1492.18,0,0,0.25,0.25,0,2000,705.62,0,12
1516.93,1,2799.9,717.76,0,1,0.25,0.92,3000,608.26,0.25,12
921.69,1,2137.93,1210.37,0,0.75,0.17,0.75,7500,1655.89,0.08,12
2772.77,1,0,0,346.81,0,0,0,3000,805.65,0,12
5040.84,1,1611.7,1210.37,2301.49,0.5,0,0.5,8000,1993.44,0,12
2072.07,0.88,0,0,2784.27,0,0,0,3000,391.97,0,12
41.09,0.78,519,519,0,0.42,0,0.33,2500,254.59,0.25,12
1989.07,1,504.35,338.35,0,0.67,0.08,0.58,13000,1720.84,0,12
3577.97,1,398.64,398.64,0,1,0,1,4000,1053.98,0,12
2016.68,1,176.68,176.68,0,0.67,0,0.67,2000,223.07,0,12
5040.84,1,2799.9,449.91,229.03,1,0.82,1,11250,2077.96,0,12
132.34,0.78,815.9,815.9,0,1,0,1,1800,2359.63,0,12
3800.15,0.82,2799.9,793.79,2830.97,1,0.08,0.92,9000,4250.02,0,12
5040.84,1,0,0,798.95,0,0,0,6000,1422.73,0,12
169.78,1,399.6,399.6,0,1,0,1,3000,215.31,0,12
1615.97,1,102,0,244.84,0.17,0.17,0,1700,890.18,0,12
125.69,1,233.28,233.28,0,1,0,1,1000,207.77,0,12
5040.84,1,387.05,182.5,2236.15,0.67,0.17,0.42,10500,1601.45,0,12
22.06,1,100,100,0,0.42,0,0.42,6900,160.77,0,12
5040.84,1,2799.9,1210.37,2830.97,1,0.17,1,13000,4230.32,0,12
1162.27,1,1347.71,947.71,175.82,1,0.08,1,6000,646,0,12
5040.84,1,324.95,0,1189.53,0.08,0.08,0,10500,1720.12,0,12
125.66,1,636.79,0,0,0.92,0.82,0,1200,423.45,0.3,12
3517.1,0.78,547.28,547.28,0,1,0,1,11000,4250.02,0,12
1656.35,1,0,0,99.26,0,0,0,1800,351.5,0,12
5040.84,1,0,0,2830.97,0,0,0,9000,1636.36,0,12
4047.48,1,2380.55,738.38,1697.66,0.75,0.5,0.75,5000,1617.89,0,12
5040.84,1,204,0,2830.97,0.08,0.08,0,9000,1237.11,0,12
1411.6,0.78,963.24,0,2830.97,0.08,0.08,0,7500,4250.02,0.33,12
663.45,0.78,0,0,2830.97,0,0,0,1800,3067.06,0.17,12
784.89,0.91,1526.59,740.29,2188.42,0.58,0.42,0.33,3000,1262.31,0.11,12
4104.71,1,203.82,0,0,0.08,0.08,0,4500,868.28,0,12
1360.74,1,0,0,1481.59,0,0,0,1500,378.29,0,12
5040.84,1,1525.44,1055.64,0,1,0.33,1,8500,1430.34,0,12
474.45,0.78,109.74,109.74,1013.66,0.38,0,0.25,1700,176.01,0,12
229.87,1,2390.6,987.67,0,1,0.67,1,3300,2543.95,0.43,12
863.81,1,507.5,0,695.1,0.17,0.17,0,4000,587.87,0.08,12
4931.33,1,901.42,255.35,2830.97,0.62,0.38,0.25,12000,4250.02,0,12
1078.89,1,2799.9,886.11,0,0.67,0.58,0.5,2500,1399.83,0,12
1565.68,1,0,0,321.36,0,0,0,3500,691.83,0,12
464.67,0.89,1979.22,0,1981.27,0.67,0.67,0,3000,3110.05,0.2,12
